tax_income_tax_year,tax_income_state_ut_code,tax_income_district_lgd_code,tax_income_pan_hash,tax_income_aadhaar_pan_linked_flag,tax_income_return_count,tax_income_total_income_inr,tax_income_taxable_income_inr,tax_income_total_tax_liability_inr,tax_income_effective_tax_rate_pct,tax_income_tds_withheld_inr,tax_income_self_assessment_paid_inr,tax_income_refund_amount_total_inr,tax_income_capital_gains_net_inr,tax_income_house_property_income_inr,tax_income_business_profession_income_inr,tax_income_tax_regime_code,tax_income_audit_selection_rate_pct,tax_income_processing_time_days_median,tax_income_data_extract_date
2022,MN,152707,806d201075c12186d9e61deac6b3e5d31f84376f37e70b167f0890fcc35c762e,1,122478,4081420,2454719,624780,25.45,707259,0,82479,689530,285169,1047221,NEW,0.95,18,2024-11-18
2019,UP,271526,4a315b0d9db43f17ac479164a9dbe274267896b72ab8888310c80a4fa2ffa6d6,1,137771,1803365,1152259,314052,27.26,165308,92860,0,200475,-63937,402677,NEW,3.34,88,2024-06-22
2024,UK,261870,56f8427a5ec235cd5cc4b929200f6c031bcaad3affe8ace3b9e9f292a00f80be,1,74271,5835392,5188646,1106709,21.33,718123,64330,0,895952,-71399,1104366,NEW,2.19,58,2025-03-18
2021,MZ,176875,e748433affedb00f7a52da93784663a5ae7dbc6690869d5fd19be033764abb41,1,183969,4843142,4599636,609007,13.24,570722,22008,0,668192,-41619,706116,OLD,1.21,47,2024-08-12
2022,KA,111326,0a10e879df59df4f44e425956a4cbffa9bc5ea3233fb5e2dd4142d742f7111fb,1,140981,2503967,1890220,565050,29.89,602667,0,37617,32273,-79115,700612,OLD,5.29,27,2024-08-25
2020,TS,240473,61ddf93f160cb10512e7b0137c872edce8e4d234c60b697e32e2e0fc85a15528,1,44941,5844683,5205053,1501462,28.85,1383830,89830,0,576316,259417,1275537,NEW,2.82,54,2024-01-02
2019,TS,245423,5065b80733e71875c851c0c7c22557358c3d20cbc455069ee49b1d02c27ba096,0,20541,1245917,856371,227034,26.51,198126,19093,0,204588,37188,56537,OLD,0.57,115,2025-04-28
2025,SK,222865,4fe8b718342577eb3b85eee4e01e1f61cb68e257d7e1872556bf857ea5e8158b,1,3815,2091974,1783178,508492,28.52,238275,67576,0,443393,417289,352505,NEW,1.88,28,2024-05-04
2024,AS,034547,270fb91fce5d666661244b9832c3c40c0a46a67ea1642c25063264bbc8ed5e93,1,169080,5593767,4416865,1295534,29.33,967729,326939,0,502002,-62087,192579,OLD,1.17,69,2025-08-20
2023,NL,181397,60005bf4b947e562e41c21f2fe280d9b7cb7429df2be8c70461f8e6f7fd1eab1,1,164997,5825851,5316559,1269776,23.88,1412168,0,142392,1193239,140147,994043,NEW,5.64,6,2024-06-12
2021,TN,232099,6690a94217954c694e16ba4a519126ab35b1e20da08e13656802bb94740c3213,1,96289,4965311,4387534,281274,6.41,193885,32641,0,939580,257893,1190554,NEW,1.53,84,2025-12-03
2024,LD,354410,5bfa2bc347f5a0cc4f0c9584d9ee0be77070e9a1814b428dcf64cc57f8c3a183,1,144816,1268524,852674,146945,17.23,103567,1266,0,294713,85345,223213,NEW,3.09,107,2025-06-22
2022,OD,196900,ab23606995fbefa1ebe7d0a3220c430cf55c6857a0c25857196a21741f9e364b,1,176818,1428336,877377,172946,19.71,118648,28707,0,353309,288188,219583,NEW,4.5,117,2025-01-25
2021,MP,134143,6805c5251d36738d13fce374094351dd122781994dbe42d3c91197eb5c2374f4,1,32891,3937601,3533179,874389,24.75,603502,234368,0,41081,359042,498174,NEW,1.04,97,2024-11-28
2021,RJ,215417,dc2895c10bb8dc8bb18634f5394dab7da867888e01183ab78f1a02b0db34f4a8,1,196176,477300,269245,42661,15.84,30878,9684,0,52201,244380,81999,NEW,2.68,81,2024-08-24
2019,GJ,075218,87625633e61bccb8363039e6684e064955175e808ed9642a23d6b7c9edc294ff,1,98439,5948403,5008476,821984,16.41,837348,0,15364,1150361,225842,185529,NEW,3.95,71,2024-02-24
2018,BR,042688,ddc4f6436c32c3b7b63a452d7da03c628dec3bbcc9743055149d6def48ba55c3,0,88205,5657326,4269262,1360104,31.86,1039187,311134,0,1164230,207953,2530269,OLD,5.3,104,2024-03-01
2022,TR,252796,6bd3943c8316c6322ff0a466255e6624443178ff35e172cb4da5220cf60e9e6f,1,32926,4878975,2841411,411168,14.47,364158,33519,0,101060,446296,1219268,NEW,3.96,4,2025-03-23
2025,PY,364257,0537ca8d10125b2c02766c283a1b4b475b6f49dca2d4a5e16e55d786c27c6590,1,134819,5813762,4918915,204642,4.16,154287,8177,0,881643,325306,1664358,NEW,0.57,31,2025-11-03
2018,DH,310320,ad74aeac8a895eb85a7c794d26efd78bd8d48da1244ab7eacfd3d562681c0cdb,0,120920,1493749,1131717,257011,22.71,282472,0,25461,335515,-85707,123104,NEW,2.0,8,2025-06-29
2024,SK,226853,88224d59e8428e23467503d636ac0473b3928497cdfef0fc7299f937493a7aa6,1,6961,5305438,4880173,566165,11.6,307427,39174,0,301161,320369,2204580,NEW,2.17,29,2025-11-02
2024,AR,026143,6341a255f56c4c1b1e613e9ffece50e2f71bc2fb6e4fa292dbd511836c226cd1,1,129866,1655396,1058976,84222,7.95,41969,8497,0,143754,-25996,425476,OLD,2.39,29,2025-08-04
2020,PY,363061,4055160fb2c7fa6603c24639e808a9cd23762b3c1e9319156e9fd77c776baa47,0,29135,859000,473299,95184,20.11,69120,1600,0,84793,376045,160176,NEW,5.66,54,2024-10-05
2023,MZ,173737,50ebcc53876e5c361a77b932bcdf5bf27e546364dc0d97041d7422b6cd70e72e,1,56059,1685219,1021426,311941,30.54,367912,0,55971,166220,64938,540864,NEW,0.31,83,2026-01-05
2019,KA,113287,ca2d9c5ec74b03f0eb4f78f33ca1ea80bace1f9a950ffb7a64c95b573b057745,1,122721,4682393,3118156,312123,10.01,299587,9826,0,657532,275121,641289,OLD,1.88,106,2024-06-12
2024,JK,336513,14975364a127e68d2a59b5b107b38318dc7c1691a3c7bb9638b15ac80d64ef11,1,156386,5666506,4705835,560591,11.91,500616,255,0,86139,301111,2383266,OLD,3.01,73,2024-08-03
2023,UP,277597,d2d3d87de9a14cf31712895f63af0ad4f17ccb4f22962855b2b438a92be0e6d8,1,27705,3729831,2633024,392206,14.9,279355,90690,0,726561,82848,284180,NEW,0.61,7,2025-06-13
2020,UP,271086,fdde9f141c65fd121174b4924db81a9c4a3125c6f83353c9d9390f45be5ece5c,0,95245,1585657,952735,209752,22.02,133427,70624,0,48710,429173,594462,OLD,2.95,14,2024-01-30
2018,JH,104133,d3ea42a18663d7dd7a3b76f4bf68c48c7105b25c63d7eeb803499a11d1de9e7a,1,57731,3665024,3562684,451405,12.67,526005,0,74600,745205,179067,1594189,NEW,0.73,54,2025-08-18
2025,PY,360137,b62635ffc5a9fbe6e3f83a7f2927e7cc10128f69a57f44b10478e135b479ff7d,1,141565,3131249,1867908,254089,13.6,188416,1401,0,13381,120942,692895,NEW,5.04,74,2024-08-26
2021,MZ,174522,257fbb0c89e51970761c7cf36db4ca9894f284d127daac42ed6fa3842bc42f1b,1,165798,3179973,2234572,501191,22.43,485587,7480,0,625680,159642,1254489,NEW,1.69,99,2025-07-22
2025,PB,202482,629fd96ae48c3b1e47bb33d5d3b542243a8b655f426a50e6141c7ea328078438,1,128322,2196852,2036349,641945,31.52,672983,0,31038,195117,55454,70745,OLD,3.19,46,2025-08-05
2023,WB,283358,1196df200b511e4e49bc3d8b06a51f861d2143fcaa0e027efbbaa56c0ca38b36,0,159199,961299,798478,80870,10.13,74887,4408,0,157618,-58516,268457,OLD,3.75,23,2024-02-26
2024,TS,244565,744614e12988dc8a4b2927afc9ef3002256c9df14d9fef76318b6c59fdd53217,0,90701,2263425,1556134,291471,18.73,170826,4186,0,101385,439518,362837,NEW,1.9,19,2024-09-15
2024,GJ,073237,e12edfbfe8fc4b01fb73bc5119c7a92ee1a6c493f1d9f7217b4fad05361e7762,1,119988,5358725,5183222,1317623,25.42,830612,327887,0,719421,342693,878510,OLD,2.17,75,2026-02-13
2019,KA,113940,4e636366bfca317ede097af1c838b5ea88e87e19a72b380ec2c10cc5bfefa55b,0,59250,2538074,1942825,131880,6.79,55176,62724,0,189791,344144,514374,NEW,3.11,119,2026-01-02
2020,MH,147647,24214ea705a62d35af28f95a6f53f593a953627aba2791b6b0565d3c4aa2e382,1,197707,271323,150173,39324,26.19,46225,0,6901,266,400326,72863,NEW,4.85,11,2025-03-04
2021,LD,358103,0ade2f3c99b6ae4d29f1bc44c70eb22e822704feb6606f9eb40305012bcb71d3,1,41656,2168512,1198428,136114,11.36,145331,0,9217,393119,228847,601124,NEW,2.77,4,2024-12-01
2021,UK,260058,6d92640340b03f26c243f610cf5914e003bf632f7b5d1d02538c136969198a2e,0,184306,2846790,2717642,96550,3.55,69825,13200,0,93357,441113,356482,OLD,3.0,4,2025-04-23
2018,MH,143778,041b391816f73abdc51f681d401174587ea4bc2d88667c6f6b82de39ca4389e0,1,149442,3659576,2455237,73657,3.0,82049,0,8392,859729,441604,632285,NEW,3.62,66,2025-07-28
2022,UP,278468,a80b89f185f569e06b476164ccea5b700b4f218031d585205f4bb88666629df6,1,197385,3903505,3509984,105299,3.0,55065,45286,0,530607,21341,438312,OLD,2.61,40,2024-02-05
2019,UP,275304,b9f7ce2ae45416584ab2cafec102b5f2ab0334476766a363e5ec27c525ceda33,1,128746,2639008,1500885,383094,25.52,166121,48386,0,1104,131086,751175,NEW,4.38,99,2024-09-06
2023,MN,152052,d223c8a12160564f924c9ea113daee28b126f2bc25a48002cf2d2d99651f0954,1,71071,987661,605608,130799,21.6,66476,54061,0,233315,-65486,45349,OLD,0.13,97,2024-01-10
2023,MN,155935,fac3ba80f7c0e52ff4bbf51cec3fc0a6ac3b28415976475837b59d21fc477e35,0,56907,2729917,2507197,636619,25.39,704568,0,67949,90622,280277,520345,NEW,2.95,61,2025-02-02
2025,JK,331449,ebd969f356ad718551cf5775db565f5a4bd3f82b8d4d85d9afd5acd39cce49c6,1,36747,169338,165520,39880,24.09,21072,4154,0,35304,-56707,74562,NEW,5.55,7,2024-04-09
2023,RJ,210218,4f656c8df37423d1ac10724b4f539f3115980ada94e4e60a7450ec8075035982,1,193452,3110064,1779973,217000,12.19,98626,84202,0,256018,314968,1383823,OLD,3.73,69,2025-12-07
2020,GA,066324,39654b3c3a23a8ae0fda553b281be0e3d500074b646ae1e096998a998f1407e3,1,22201,2754412,1713475,511585,29.86,280572,6007,0,391169,338449,642007,OLD,2.97,45,2024-11-03
2025,UK,265151,768b0de2beb77da1574d773ff6b0abc10e16e8af51229569fa9e4398c0f44d9a,1,162257,2233644,1922837,540206,28.09,395457,34200,0,466678,114422,248731,NEW,4.65,100,2025-11-27
2021,SK,227565,907497c2dde8f88c4171f7498d075294517bfe048f10b2c01a1f71224857a6e2,1,139994,4021790,3127690,348651,11.15,277925,20185,0,50431,240092,1056014,NEW,2.42,88,2026-01-13
2020,OD,193448,2a372194d2a1f3977c1c4fa7a5d9ad017eff94b6e86c98430e50b91f8af5cdcb,1,26233,4564173,3307041,817967,24.73,481564,299126,0,775975,421009,1003238,OLD,2.86,115,2024-08-02
2025,UP,278542,96b8f6c189cd31b575aa6e7eeda6c6c4ef351460b3742da8a3cb6461c8d6dda6,0,183225,1693466,1073015,281441,26.23,293985,0,12544,62904,310988,32377,NEW,1.25,46,2025-07-26
2020,JK,334212,0ce8579a4148d5eb41b02c4693086f913a62353e9911500874208c87ebe84979,0,33350,3095371,2960837,462804,15.63,540497,0,77693,554377,131203,1377726,OLD,0.83,40,2024-02-07
2018,KL,127380,ff9e06b5375babd86d74b4362b58809f47d7c7c218c8449659dcd526a931f889,0,32999,3131881,1954530,75315,3.85,47649,13131,0,125826,395961,461092,NEW,0.25,59,2026-02-25
2021,ML,161002,97e0aca9664cbf96695f0b0bb56301d457179da8e9d64f59e007ac85501f48cc,1,109265,3128885,2077758,222108,10.69,254284,0,32176,17164,-97179,562185,NEW,4.42,99,2025-08-17
2024,GJ,070971,6c9904e6f14b39dff399ba9537b6137dd4836e7041652d592fee0bc5ef4def20,1,21528,2509265,1730008,547408,31.64,577151,0,29743,97508,8973,579897,NEW,2.86,61,2025-06-19
2019,TS,247828,0830c7908851da13580350d706f794ed6f9f842035695aeb4e2deb7cd2298969,0,21373,1377594,839768,192390,22.91,213325,0,20935,215503,66706,545756,OLD,5.64,42,2025-04-01
2021,MN,158339,e9c5d897dee00d0fd382cd486c1759a51ac29c69b7525a84f3e15ac82e50a7f4,1,125223,1153155,900129,223148,24.79,99916,48236,0,284173,87528,414678,NEW,1.14,109,2024-03-19
2019,MP,139424,b43c0b3cb65d6ac2b01773efceb1693fabd84a3b89dcc7a5ea687dc6d83ab34a,1,192903,330395,230209,67178,29.18,71694,0,4516,80130,263181,30560,NEW,1.54,48,2024-07-24
2023,UK,263246,0782d4724d855d682f2997e3786b530f950df59614e3165ad866626d7aad2c8c,0,11610,455058,369222,23956,6.49,20811,963,0,84833,331651,146711,OLD,3.87,105,2025-06-30
2021,MN,150222,18b2b7eb870d20e97b7b9b0ae40dcf7f523157226701f41c439b68de97c70481,0,127966,4884259,3458929,1071885,30.99,461561,317315,0,1006866,-89663,1922220,NEW,0.42,77,2024-06-17
2020,MZ,179799,27e8769c068b7ef1929c152a73f4bca4e608881f9bd90390ce63a529e0342572,1,120736,559470,335716,55663,16.58,55825,0,162,122239,27853,179824,OLD,3.07,10,2025-05-19
2019,ML,166013,e0cd64134f515d77e0cf964c4a8d1d0e24ebc3432c7771882a05f7b8725a9334,0,14168,5154568,4769093,1136461,23.83,674344,319554,0,680858,346223,322845,NEW,0.83,60,2025-10-16
2022,JH,102471,2bee502137d29dc4656b73e2c1052efaf9d0de7e1b7e3ae691c8642704e943dc,1,30763,5394613,4149268,422508,10.18,438419,0,15911,308305,168443,1308216,NEW,1.05,83,2025-11-28
2023,CG,057638,a1c6f0a2bdedb768266c393619ff2005d49468f438b048cf25f2010845663216,1,89253,1561293,1074787,113293,10.54,102053,8279,0,258041,56776,589155,NEW,3.12,110,2024-02-21
2025,CH,309038,5edcf13ac9492fff3dc1650a92e62d17ac3cd0e6ee9bfc2371037db1f6749e98,1,138968,2741324,1527018,175716,11.51,139494,19345,0,97037,132766,241312,OLD,3.46,66,2025-03-04
2021,BR,042848,b5a2da50dccadf25556a7d3c61e4a63b2b3928ede0d66c26b18e8153183d51a7,1,45171,2256188,1820910,202810,11.14,84917,90720,0,469490,225384,546768,NEW,1.35,4,2024-04-12
2019,KL,127696,8f83d39ac399adb1076f722294120426c0f87733095eae119726e80bc35c5ba6,1,87404,2454054,2175462,65263,3.0,72555,0,7292,252823,219323,739400,NEW,1.7,44,2024-07-12
2024,TR,257875,d255afaa69e804b7cae5e4651e73e883bf3b1fe26f87dffae8209f3ff8baa119,1,98599,2244404,1861792,184436,9.91,95547,35978,0,149528,352662,641712,NEW,1.78,116,2025-11-23
2023,CG,055016,febadc18a3f1613d7c96566f0db0684ce1409b8de842791d55c0c143e9090c2c,1,142652,2153240,1913625,396430,20.72,421704,0,25274,454041,443275,103294,NEW,0.94,60,2025-07-30
2023,TS,246323,42a65d26fec52c21494addb3cf1657071e22077b52c4a10624aeed9c98997655,1,50158,4152642,2560701,739098,28.86,702534,12863,0,115435,340524,518478,OLD,5.8,47,2025-06-15
2018,UP,272695,13ee599c582120a7cf4133651f7fee179a4650e0a486fd5c0ca7038d4156ffc2,1,138133,2564157,2481673,74450,3.0,33923,28289,0,624901,-60883,637089,OLD,4.18,105,2025-08-15
2020,TS,249291,3e73b1c54b99fa304aa138e19ff6e8534bfd46b0fc22fbfeb3752d47588b26a8,1,166527,1245330,798098,23942,3.0,19962,2217,0,295894,120307,116990,NEW,0.75,51,2024-04-03
2024,KA,119831,62705e27ef67bc01dc4f13cc2907737348765f2807505e07720f653f21f12885,1,116956,2366128,1572801,298152,18.96,348659,0,50507,360117,156246,355322,NEW,2.21,93,2025-02-08
2024,AP,019810,5114c6e35ea8812e93974bac3153086d83bff1e6c3704b449490fb0232c5c003,1,144498,5875473,4525886,1013326,22.39,1153415,0,140089,1046021,238768,1097446,OLD,1.12,5,2024-06-29
2021,DL,327371,2639ff1eb7d6457b3fb648526c4ba6fd8a356c962357c043b5c5a5fb3f21e16e,1,34329,5928739,3274051,637249,19.46,329482,216788,0,55062,426622,36347,NEW,1.48,69,2024-03-15
2024,KL,120423,38a110e962f867843ec666ff2cd6fc47c0a7eaff35abaec7155a2fc576761136,1,181409,511889,378927,117987,31.14,63541,36757,0,55934,134739,117575,OLD,5.64,5,2025-12-21
2024,AN,293664,2eb0aee1ee9014f41dde48075dfb6c5a63bc3e9ba589009c312fc18c27cca5c6,1,60949,3518353,2231205,163408,7.32,85447,59302,0,778098,78289,1574957,OLD,0.91,23,2024-11-21
2021,HR,084449,ff3d24c1006bdd4af58e51841d2cb98b102d8632a16d7b0745d4ac071ff2f425,1,40393,5846539,5098636,785181,15.4,789059,0,3878,16841,392992,1074129,NEW,5.29,66,2024-06-08
2025,GA,069598,8d1ef3daada693f553bd96df88b5e5dc018ebca4795e826beb274a76639082b8,1,110139,1284213,1124757,329653,29.31,174255,114900,0,93304,302140,158515,OLD,5.07,75,2025-10-23
2020,AN,295469,b2a608bb5f1febb2ab3c50b5173388ce39856ec6b926ed55c052965be0bedb21,0,77693,552375,450056,88930,19.76,40166,8784,0,48863,141466,62886,OLD,4.49,16,2025-07-09
2019,LA,345361,4102a1d53f051fdb41e0fe9238ea8201c5682be9c1142492ca4568b2e32b20e0,1,92796,1390124,1016631,187750,18.47,133727,45734,0,234611,409684,322270,NEW,3.03,61,2024-08-26
2023,DH,311467,676db28927f669cfb011369807e66e70640c4879a41104e6f76e0c300b8af53b,1,161287,2007457,1371897,409524,29.85,480581,0,71057,353733,52506,411939,OLD,1.62,50,2025-10-05
2023,WB,287937,6a3e2cdc64f73afe7b2a6c400078fc5e431d0c698a6cbb9b5bdd2692ec80f396,1,107647,5617808,5088659,551859,10.84,356836,129880,0,91555,17146,2179110,OLD,5.0,55,2025-07-29
2019,HP,093362,6872fb64bfb03bdb14e9319a7eda3d81d28fe819335bc49674925f95daa52a15,1,75395,1616555,1241595,62447,5.03,61159,1276,0,87906,-107796,465018,NEW,5.02,97,2024-07-29
2024,JK,330918,fac7ee00968fb972679bdd30ab8f1e587bceec5a06227e3deb97ef03f3710ce5,0,160242,2092112,1597287,66054,4.14,34028,9436,0,431758,-73614,375311,OLD,3.2,113,2024-07-18
2019,TR,259876,86264025181aeb28bc226621df10ec7c1555ffef0e1e6c5fa9ae4378c0e19885,1,76438,1668860,999273,262807,26.3,235715,7320,0,80029,372780,289690,OLD,0.38,11,2024-05-15
2024,GJ,071900,7462d8c4170da1a36602d75589c5cb25cf401de29d7fe0da99bb1ec295d85788,0,191706,2440539,1571474,430935,27.42,372729,10603,0,174824,-76855,600947,NEW,1.24,119,2024-09-15
2018,CG,050162,093a1661a0ff16f9a14aa83c29f29b8ab425e572c3078943ee2a9b8036f088fd,0,197221,5968816,4208077,314936,7.48,353779,0,38843,242101,315949,680538,NEW,0.43,8,2024-08-14
2024,DL,320778,b4ca5cb4233909f8de5925ccedf94cb331f69827f747cb674160a7820a698835,1,94384,640259,544544,79646,14.63,77515,909,0,120739,-78394,121828,NEW,1.16,114,2024-09-22
2024,JH,104525,3365228a13051b1379a30c2b390865999bb844e33ebefad91265d809f5a82b7e,0,154401,2831357,2586349,484041,18.72,240388,190991,0,19187,11249,363172,OLD,3.1,75,2024-06-06
2024,WB,281029,8ed05ecaef7df7c18fe33bf4b434563a210a1dea4119be913932b080d2a0995c,1,141922,3741361,3655047,162616,4.45,117707,2211,0,282391,79796,867845,NEW,5.14,89,2024-04-16
2023,CG,058426,556ab230469a1abee37ad9bded220d83a4e0e1963eae3de23ffff9159c9a00e0,1,172302,849136,623092,169243,27.16,67772,18307,0,113001,2420,208862,NEW,3.95,31,2025-07-12
2021,KA,115124,51acb979f5c54571388e1996e754c8fcffd65b2261349f51855f73a1a1ce9c3c,1,92787,409933,305350,40929,13.4,24262,1053,0,616,-48058,156210,OLD,3.65,73,2024-10-03
2023,KA,113239,9662671684b73d226d43362f7fc5529f54c07facc839277fd731dba246ce1e49,1,81987,5896337,5185274,1432751,27.63,1686435,0,253684,1406255,443527,666461,OLD,4.51,72,2024-03-20
2020,KA,110031,56111a54fa04d07c5f13a0e72d6578a17f628e5a94e850f863980af4eae230f8,0,56047,1724801,1186883,288679,24.32,220721,7241,0,374837,110864,702211,NEW,3.88,40,2025-07-23
2024,TR,254797,73ec7c47142f4bb0de3ebfd119d8969751ad3311ed1b606c8dd296cfadf0d663,1,117597,1569593,1228085,115913,9.44,126816,0,10903,254005,121156,378069,OLD,2.72,61,2024-06-29
2022,JK,331513,637edb692fe04be4d2d337a8f9b1aff61eb4c8f0cda2328a3b8d9e90f164abe2,1,123525,2189632,1841737,422317,22.93,176943,162868,0,240383,309852,716174,NEW,4.91,113,2024-11-11
2021,JK,339780,191f323911c84c2efa8415ae29b7bda81e4a297d61fb04c85142762baca9d237,1,90660,574400,374271,88711,23.7,97941,0,9230,22302,400975,158104,OLD,1.93,15,2025-10-24
2022,UP,272910,a90e6976a522a0a50ed36c144783555e3e10744d698cf1ba794f55a422c52244,1,62763,1009633,676679,67400,9.96,74916,0,7516,139743,49988,376661,OLD,5.58,56,2024-08-23
2022,HR,084748,2aa38cad919fc5507ce3986c2cf932510b6a1eea51dfc2eb161ea37910dc8eed,0,90608,291456,204940,16640,8.12,15354,675,0,17429,138344,86974,NEW,0.79,42,2024-05-24
2018,LD,350186,c287a96bd84dbf9525c2c0f13a8ca7ba886bfe8e6f9ef35a740093322a01580f,1,100927,3278915,2617900,689808,26.35,340075,9642,0,523001,153268,16339,NEW,3.86,26,2025-07-05
2019,PB,201309,e80824b3c714e7f70b9ac44430bb89a74da09b3b124f0ad26086f72c25d320ce,1,26412,2859899,1905489,413374,21.69,455047,0,41673,104090,28585,502266,OLD,3.05,59,2024-03-03
2019,PB,202074,b9ab6916d0d468291eb5e15f0e0281f5d7b7ec97d6ae8cf598ccacfe00b6a4f5,0,132367,1753360,1121295,265369,23.67,297184,0,31815,314342,-47400,740380,NEW,2.61,15,2025-02-09
2018,UK,260517,3c31fccdf9fb51902e23dbcdf5befe60dc192458cf78e2aaeee673015993890c,1,168584,5522244,3392251,339827,10.02,190587,15012,0,445790,404991,1121864,NEW,2.64,17,2025-10-06
2021,WB,287259,6417ce1d84a30271ec02dbd741aa5b1dfa0068de78456db65712774f6decf83f,0,65053,1935881,1738427,401754,23.11,462873,0,61119,242944,278025,721644,OLD,0.35,100,2024-12-09
2023,LD,359454,ba379f2397b05ecad6e104245f766f199d3887276adba051309e6e558abf0889,1,78717,249218,232013,53033,22.86,58592,0,5559,10082,267106,97452,NEW,4.53,40,2024-05-04
2023,RJ,219853,a6d46df58313203111799f962a0355d4d2b7abed0aa89117faaced087b1f3b0e,1,19487,733018,688326,73408,10.66,41394,8562,0,46963,61074,109703,NEW,2.18,41,2025-09-18
2021,SK,222658,d6974b1175bc977bdc876955544a5011ea4cd8c3867f79eb0505e2cf52d72162,1,116783,4392282,3967559,343381,8.65,245536,60235,0,494364,256463,1695315,OLD,2.91,80,2025-07-27
2024,UP,277887,9d8c0cb192fca7fbeba7f37af84ce8a7762919dc8d2d063777d0abd247361fcd,1,86092,3269475,1991222,274880,13.8,183989,45230,0,374503,-42922,555306,NEW,5.1,92,2024-10-27
2022,JH,105040,ebaa399b36950b1357265b1fe5d60375730629de426b2683303bba61b89cb947,1,171557,1673467,990748,234321,23.65,187124,11289,0,418273,-52693,19097,NEW,3.5,104,2024-04-29
